UniProt_Accession_for_Protein_Group	UniProt_ID_for_Protein_Group	UniProt_Protein_Description	Quantified_Peptides_Experiment_1	Quantified_Peptides_Experiment_1.1	Quantified_PSMs_(Rep_1)_Experiment_1	Quantified_PSMs_(Rep_1)_Experiment_1.1	126	127N	127C	128N	128C	129N	129C	130N	130C	131	126.1	127N.1	127C.1	128N.1	128C.1	129N.1	129C.1	130N.1	130C.1	131.1	phenoDisco_Input	phenoDisco_Output	Curated_phenoDisco_Output	SVM_marker_set	SVM_classification	SVM_score	SVM_classification_(top_quartile)	Final_Localization_Assignment	First_localization_evidence?	Curated_Organelles	Cytoskeletal_Components	Trafficking_Proteins	Protein_Complexes	Signaling_Cascades	Oct4_Interactome	Nanog_Interactome	Sox2_Interactome	Cell_Surface_Proteins	uniprot_id	isoforms	max_fraction	min_difference	mean_expression	length	classified	low_fraction	AS	temp_binary
Q1HFZ0	NSUN2_MOUSE	tRNA (cytosine(34)-C(5))-methyltransferase OS=Mus musculus GN=Nsun2 PE=1 SV=2 - [NSUN2_MOUSE]	20	20	28	31	0.504	0.02	0.044	0.009	0.015	0.017	0.032	0.061	0.236	0.062	0.471	0.025	0.052	0.028	0.032	0.032	0.05	0.038	0.213	0.06	unknown	unknown	unknown	unknown	Nucleus - Non-chromatin	0.245	unclassified	unclassified	N										Q1HFZ0	1	1.0		161.476077973	757	False	False	False	False
Q8CGF7	TCRG1_MOUSE	Transcription elongation regulator 1 OS=Mus musculus GN=Tcerg1 PE=1 SV=2 - [TCRG1_MOUSE]	20	17	27	22	0.161	0.053	0.043	0.017	0.036	0.042	0.044	0.162	0.207	0.234	0.097	0.055	0.044	0.041	0.053	0.047	0.063	0.048	0.256	0.294	unknown	unknown	unknown	unknown	Nucleus - Non-chromatin	0.584	unclassified	unclassified	N										Q8CGF7	1	1.0		17.272370683	1100	False	False	False	False
Q8JZQ9	EIF3B_MOUSE	Eukaryotic translation initiation factor 3 subunit B OS=Mus musculus GN=Eif3b PE=1 SV=1 - [EIF3B_MOUSE]	20	23	27	33	0.583	0.075	0.077	0.025	0.033	0.035	0.023	0.038	0.027	0.084	0.393	0.07	0.08	0.057	0.064	0.05	0.04	0.025	0.035	0.184	unknown	unknown	unknown	unknown	Proteasome	0.425	unclassified	unclassified	Y				eIF3 complex						Q8JZQ9	1	1.0		207.38855359	803	False	False	False	False
Q9QYI3	DNJC7_MOUSE	DnaJ homolog subfamily C member 7 OS=Mus musculus GN=Dnajc7 PE=1 SV=2 - [DNJC7_MOUSE]	20	19	27	28	0.507	0.108	0.107	0.046	0.061	0.042	0.024	0.04	0.022	0.043	0.419	0.092	0.118	0.088	0.091	0.063	0.032	0.026	0.025	0.046	unknown	unknown	unknown	unknown	Cytosol	0.592	unclassified	unclassified	N										Q9QYI3	1	1.0		78.7496340715	494	False	False	False	False
A2APB8	TPX2_MOUSE	Targeting protein for Xklp2 OS=Mus musculus GN=Tpx2 PE=1 SV=1 - [TPX2_MOUSE]	20	12	26	14	0.147	0.017	0.021	0.005	0.017	0.032	0.065	0.239	0.242	0.214	0.111	0.015	0.02	0.012	0.024	0.038	0.091	0.11	0.448	0.13	unknown	unknown	unknown	unknown	Nucleus - Chromatin	0.818	unclassified	Nucleus - Chromatin	N							Prey			A2APB8	5	0.328517391988	0.83267740003	58.5012059338	745	True	True	True	False
O35379	MRP1_MOUSE	Multidrug resistance-associated protein 1 OS=Mus musculus GN=Abcc1 PE=1 SV=1 - [MRP1_MOUSE]	20	27	26	38	0.0	0.278	0.199	0.117	0.152	0.11	0.053	0.049	0.007	0.035	0.003	0.18	0.134	0.161	0.171	0.175	0.127	0.03	0.01	0.009	Plasma membrane	Plasma membrane	Plasma membrane	Plasma membrane	Plasma membrane	1.0	Plasma membrane	Plasma membrane	N										O35379	1	1.0		13.4963193992	1528	True	False	False	False
O09159	MA2B1_MOUSE	Lysosomal alpha-mannosidase OS=Mus musculus GN=Man2b1 PE=2 SV=4 - [MA2B1_MOUSE]	20	16	24	23	0.003	0.081	0.153	0.13	0.289	0.197	0.06	0.049	0.007	0.031	0.005	0.075	0.15	0.201	0.262	0.172	0.081	0.031	0.012	0.011	unknown	Phenotype 3	Lysosome	Lysosome	Lysosome	1.0	Lysosome	Lysosome	N										O09159	1	1.0		8.06659130925	1013	True	False	False	False
P16858	G3P_MOUSE	Glyceraldehyde-3-phosphate dehydrogenase OS=Mus musculus GN=Gapdh PE=1 SV=2 - [G3P_MOUSE]	19	19	77	175	0.477	0.138	0.14	0.053	0.058	0.03	0.013	0.023	0.029	0.039	0.445	0.071	0.115	0.093	0.073	0.054	0.026	0.018	0.049	0.055	unknown	Proteasome	unknown	unknown	Cytosol	0.84	Cytosol	Cytosol	N									High Confidence	P16858	1	1.0		188.028236288	333	True	False	False	False
P51150	RAB7A_MOUSE	Ras-related protein Rab-7a OS=Mus musculus GN=Rab7a PE=1 SV=2 - [RAB7A_MOUSE]	19	17	71	64	0.007	0.108	0.157	0.126	0.272	0.143	0.06	0.068	0.006	0.053	0.009	0.102	0.132	0.164	0.262	0.17	0.089	0.045	0.013	0.015	unknown	unknown	unknown	unknown	Lysosome	0.521	unclassified	unclassified	N			Rab proteins	Rab proteins						P51150	1	1.0		142.716191373	207	False	False	False	False
O35643	AP1B1_MOUSE	AP-1 complex subunit beta-1 OS=Mus musculus GN=Ap1b1 PE=1 SV=2 - [AP1B1_MOUSE]	19	21	47	39	0.051	0.097	0.079	0.068	0.218	0.287	0.077	0.053	0.024	0.044	0.047	0.07	0.08	0.11	0.19	0.27	0.111	0.039	0.025	0.057	unknown	unknown	unknown	unknown	Endoplasmic reticulum/Golgi apparatus	0.676	unclassified	unclassified	N	Vesicles - AP1								Non-Specific	O35643	3	0.735220462124	0.354567416171	28.3271789397	943	False	True	True	False
Q9QUJ7-2	ACSL4_MOUSE	Isoform Short of Long-chain-fatty-acid--CoA ligase 4 OS=Mus musculus GN=Acsl4 - [ACSL4_MOUSE]	19	25	40	43	0.0	0.129	0.097	0.064	0.142	0.204	0.126	0.125	0.009	0.103	0.006	0.087	0.11	0.151	0.164	0.227	0.12	0.085	0.019	0.031	unknown	unknown	unknown	unknown	Endoplasmic reticulum/Golgi apparatus	0.723	unclassified	Endoplasmic reticulum/Golgi apparatus	N										Q9QUJ7	3	0.584680201564	0.465450614832	18.5639384513	711	True	True	True	False
Q9Z0X1	AIFM1_MOUSE	Apoptosis-inducing factor 1, mitochondrial OS=Mus musculus GN=Aifm1 PE=1 SV=1 - [AIFM1_MOUSE]	19	19	38	39	0.0	0.016	0.019	0.012	0.033	0.102	0.251	0.269	0.048	0.249	0.001	0.012	0.014	0.019	0.031	0.107	0.382	0.243	0.053	0.138	Mitochondrion	Mitochondrion	Mitochondrion	Mitochondrion	Mitochondrion	1.0	Mitochondrion	Mitochondrion	N										Q9Z0X1	1	1.0		38.94336497	612	True	False	False	False
P56399	UBP5_MOUSE	Ubiquitin carboxyl-terminal hydrolase 5 OS=Mus musculus GN=Usp5 PE=1 SV=1 - [UBP5_MOUSE]	19	18	37	27	0.512	0.129	0.135	0.061	0.071	0.038	0.015	0.016	0.006	0.016	0.406	0.12	0.125	0.098	0.115	0.055	0.032	0.014	0.016	0.02	unknown	Phenotype 5	unknown	unknown	Cytosol	0.882	Cytosol	Cytosol	Y										P56399	1	1.0		73.6329632855	858	True	False	False	False
Q99LI8	HGS_MOUSE	Hepatocyte growth factor-regulated tyrosine kinase substrate OS=Mus musculus GN=Hgs PE=1 SV=2 - [HGS_MOUSE]	19	25	37	41	0.028	0.123	0.132	0.12	0.331	0.134	0.047	0.044	0.009	0.032	0.012	0.101	0.112	0.166	0.283	0.205	0.075	0.026	0.006	0.014	unknown	Phenotype 4	Endosome	Endosome	Endosome	1.0	Endosome	Endosome	N										Q99LI8	2	0.574660224393	0.740158719105	23.509361856	775	True	True	True	False
Q9Z1G4-3	VPP1_MOUSE	Isoform A1-III of V-type proton ATPase 116 kDa subunit a isoform 1 OS=Mus musculus GN=Atp6v0a1 - [VPP1_MOUSE]	19	18	37	41	0.0	0.082	0.172	0.135	0.35	0.142	0.045	0.037	0.013	0.024	0.004	0.064	0.11	0.185	0.28	0.214	0.083	0.03	0.022	0.008	unknown	unknown	unknown	unknown	Lysosome	0.686	unclassified	unclassified	N										Q9Z1G4	4	0.495330653578	0.620274023445	7.72378811025	839	False	True	True	False
Q07832	PLK1_MOUSE	Serine/threonine-protein kinase PLK1 OS=Mus musculus GN=Plk1 PE=1 SV=2 - [PLK1_MOUSE]	19	19	35	23	0.093	0.123	0.087	0.057	0.079	0.078	0.078	0.129	0.129	0.148	0.084	0.092	0.083	0.08	0.107	0.088	0.102	0.068	0.168	0.128	unknown	unknown	unknown	unknown	60S Ribosome	0.304	unclassified	unclassified	N										Q07832	1	1.0		27.3366481568	603	False	False	False	False
P49717	MCM4_MOUSE	DNA replication licensing factor MCM4 OS=Mus musculus GN=Mcm4 PE=2 SV=1 - [MCM4_MOUSE]	19	23	32	43	0.456	0.014	0.037	0.005	0.01	0.017	0.056	0.107	0.193	0.105	0.453	0.02	0.045	0.022	0.024	0.028	0.044	0.065	0.216	0.084	unknown	unknown	unknown	unknown	Nucleus - Non-chromatin	0.281	unclassified	unclassified	N			MCMcomplex	MCM complex						P49717	1	1.0		61.9755532995	862	False	False	False	False
Q3U186	SYRM_MOUSE	Probable arginine--tRNA ligase, mitochondrial OS=Mus musculus GN=Rars2 PE=2 SV=1 - [SYRM_MOUSE]	19	23	32	42	0.0	0.013	0.014	0.011	0.035	0.093	0.233	0.312	0.021	0.267	0.004	0.015	0.016	0.021	0.033	0.092	0.415	0.236	0.029	0.139	Mitochondrion	Mitochondrion	Mitochondrion	Mitochondrion	Mitochondrion	1.0	Mitochondrion	Mitochondrion	N										Q3U186	1	1.0		29.482484794	578	True	False	False	False
P35951	LDLR_MOUSE	Low-density lipoprotein receptor OS=Mus musculus GN=Ldlr PE=1 SV=2 - [LDLR_MOUSE]	19	14	31	16	0.019	0.071	0.142	0.154	0.356	0.134	0.05	0.044	0.0	0.031	0.008	0.062	0.101	0.173	0.322	0.2	0.087	0.031	0.01	0.008	unknown	unknown	unknown	unknown	Lysosome	0.645	unclassified	unclassified	N										P35951	3	0.381276689623	0.907877163536	24.9562690908	862	False	True	True	False
Q9DCD0	6PGD_MOUSE	6-phosphogluconate dehydrogenase, decarboxylating OS=Mus musculus GN=Pgd PE=2 SV=3 - [6PGD_MOUSE]	19	17	30	28	0.484	0.107	0.11	0.053	0.076	0.04	0.022	0.049	0.015	0.043	0.435	0.104	0.12	0.087	0.101	0.058	0.032	0.018	0.017	0.028	unknown	Phenotype 5	Cytosol	Cytosol	Cytosol	1.0	Cytosol	Cytosol	Y										Q9DCD0	1	1.0		57.064614143	483	True	False	False	False
Q6EDY6	LR16A_MOUSE	Leucine-rich repeat-containing protein 16A OS=Mus musculus GN=Lrrc16a PE=1 SV=2 - [LR16A_MOUSE]	19	23	29	32	0.01	0.34	0.19	0.115	0.134	0.095	0.04	0.041	0.006	0.027	0.01	0.221	0.175	0.163	0.164	0.114	0.074	0.034	0.026	0.02	unknown	Plasma membrane	unknown	unknown	Plasma membrane	0.809	unclassified	Plasma membrane	N									High Confidence	Q6EDY6	1	1.0		3.533580976	1374	True	False	False	False
P46660	AINX_MOUSE	Alpha-internexin OS=Mus musculus GN=Ina PE=1 SV=2 - [AINX_MOUSE]	19	14	28	24	0.055	0.051	0.049	0.02	0.038	0.061	0.085	0.24	0.18	0.221	0.05	0.038	0.038	0.034	0.048	0.085	0.139	0.143	0.267	0.159	unknown	unknown	unknown	unknown	Nucleus - Chromatin	0.499	unclassified	unclassified	N										P46660	1	1.0		9.77454633875	501	False	False	False	False
Q8BWQ6	CP062_MOUSE	UPF0505 protein C16orf62 homolog OS=Mus musculus PE=2 SV=2 - [CP062_MOUSE]	19	20	28	33	0.046	0.073	0.105	0.108	0.314	0.154	0.055	0.059	0.017	0.068	0.026	0.049	0.083	0.148	0.261	0.221	0.065	0.034	0.027	0.085	unknown	unknown	unknown	unknown	Endosome	0.6	Endosome	Endosome	Y										Q8BWQ6	1	1.0		16.687067593	963	True	False	False	False
Q8VD75	HIP1_MOUSE	Huntingtin-interacting protein 1 OS=Mus musculus GN=Hip1 PE=1 SV=2 - [HIP1_MOUSE]	19	24	27	29	0.0	0.2	0.11	0.076	0.126	0.171	0.122	0.079	0.051	0.065	0.003	0.097	0.113	0.104	0.118	0.215	0.175	0.054	0.058	0.064	unknown	unknown	unknown	unknown	Endoplasmic reticulum/Golgi apparatus	0.3	unclassified	unclassified	N	Vesicles - AP2									Q8VD75	1	1.0		8.4458888085	1029	False	False	False	False
Q8BGS1	E41L5_MOUSE	Band 4.1-like protein 5 OS=Mus musculus GN=Epb41l5 PE=1 SV=1 - [E41L5_MOUSE]	19	14	26	20	0.008	0.316	0.191	0.107	0.129	0.123	0.055	0.034	0.021	0.017	0.01	0.204	0.153	0.178	0.163	0.16	0.078	0.026	0.012	0.016	unknown	Plasma membrane	unknown	unknown	Plasma membrane	0.886	Plasma membrane	Plasma membrane	N										Q8BGS1	2	0.673358370191	0.485093293957	8.79345948625	731	True	True	True	False
Q9R190	MTA2_MOUSE	Metastasis-associated protein MTA2 OS=Mus musculus GN=Mta2 PE=1 SV=1 - [MTA2_MOUSE]	19	14	26	15	0.063	0.01	0.008	0.003	0.008	0.022	0.074	0.267	0.307	0.237	0.075	0.015	0.019	0.012	0.023	0.033	0.091	0.111	0.545	0.076	unknown	Phenotype 1	unknown	unknown	Nucleus - Chromatin	0.808	unclassified	Nucleus - Chromatin	N				NuRD complex		Prey	Prey	Prey		Q9R190	1	1.0		29.0613412285	668	True	False	False	False
O55098	STK10_MOUSE	Serine/threonine-protein kinase 10 OS=Mus musculus GN=Stk10 PE=1 SV=2 - [STK10_MOUSE]	19	19	24	24	0.014	0.297	0.22	0.124	0.108	0.069	0.037	0.059	0.023	0.048	0.014	0.197	0.212	0.178	0.15	0.105	0.046	0.042	0.039	0.017	unknown	unknown	unknown	unknown	Plasma membrane	0.546	unclassified	unclassified	N										O55098	1	1.0		10.2341769875	966	False	False	False	False
P48678	LMNA_MOUSE	Prelamin-A/C OS=Mus musculus GN=Lmna PE=1 SV=2 - [LMNA_MOUSE]	19	23	24	32	0.003	0.004	0.001	0.0	0.008	0.034	0.101	0.34	0.196	0.313	0.007	0.007	0.02	0.015	0.024	0.056	0.155	0.292	0.339	0.084	unknown	Phenotype 1	unknown	unknown	Nucleus - Chromatin	0.827	unclassified	Nucleus - Chromatin 	N	Nucleus - Lamina									P48678	3	0.442875359914	0.913763274979	12.312542135	665	True	True	True	True
P59328-3	WDHD1_MOUSE	Isoform 3 of WD repeat and HMG-box DNA-binding protein 1 OS=Mus musculus GN=Wdhd1 - [WDHD1_MOUSE]	19	12	24	17	0.219	0.01	0.022	0.003	0.008	0.024	0.08	0.311	0.075	0.247	0.346	0.023	0.047	0.026	0.029	0.045	0.067	0.158	0.145	0.113	unknown	unknown	unknown	unknown	Mitochondrion	0.185	unclassified	unclassified	N										P59328	1	1.0		23.3470027605	1117	False	False	False	False
Q9D5V5	CUL5_MOUSE	Cullin-5 OS=Mus musculus GN=Cul5 PE=1 SV=3 - [CUL5_MOUSE]	19	28	24	41	0.088	0.343	0.207	0.1	0.102	0.068	0.029	0.027	0.018	0.019	0.109	0.19	0.161	0.163	0.146	0.112	0.052	0.022	0.024	0.02	unknown	unknown	unknown	unknown	Actin cytoskeleton	0.573	Actin cytoskeleton	Actin cytoskeleton	N										Q9D5V5	2	0.891845255003	0.121270752285	30.7746452442	780	True	True	True	False
Q9CSH3	RRP44_MOUSE	Exosome complex exonuclease RRP44 OS=Mus musculus GN=Dis3 PE=2 SV=4 - [RRP44_MOUSE]	19	17	21	22	0.332	0.029	0.055	0.009	0.031	0.034	0.048	0.138	0.166	0.158	0.29	0.039	0.052	0.038	0.048	0.045	0.064	0.049	0.184	0.192	unknown	unknown	unknown	unknown	Nucleus - Non-chromatin	0.395	unclassified	unclassified	N				Exosome						Q9CSH3	1	1.0		70.4380469965	958	False	False	False	False
P18760	COF1_MOUSE	Cofilin-1 OS=Mus musculus GN=Cfl1 PE=1 SV=3 - [COF1_MOUSE]	18	18	57	67	0.137	0.258	0.147	0.107	0.145	0.132	0.047	0.013	0.009	0.006	0.184	0.175	0.15	0.131	0.141	0.12	0.056	0.016	0.018	0.008	unknown	Phenotype 9	Actin cytoskeleton	Actin cytoskeleton	Actin cytoskeleton	1.0	Actin cytoskeleton	Actin cytoskeleton	N										P18760	1	1.0		933.18705896	166	True	False	False	False
O35129	PHB2_MOUSE	Prohibitin-2 OS=Mus musculus GN=Phb2 PE=1 SV=1 - [PHB2_MOUSE]	18	17	49	62	0.0	0.017	0.02	0.014	0.036	0.074	0.19	0.299	0.087	0.262	0.001	0.014	0.014	0.017	0.028	0.08	0.388	0.216	0.106	0.135	unknown	Mitochondrion	unknown	unknown	Mitochondrion	0.98	Mitochondrion	Mitochondrion	N										O35129	1	1.0		278.491659305	299	True	False	False	False
P06151	LDHA_MOUSE	L-lactate dehydrogenase A chain OS=Mus musculus GN=Ldha PE=1 SV=3 - [LDHA_MOUSE]	18	18	48	52	0.538	0.122	0.12	0.06	0.075	0.04	0.015	0.016	0.003	0.011	0.471	0.095	0.134	0.096	0.094	0.059	0.025	0.012	0.007	0.009	unknown	Phenotype 5	Cytosol	Cytosol	Cytosol	1.0	Cytosol	Cytosol	N										P06151	2	0.989024245279	0.0110975588044	424.449199298	332	True	False	False	False
Q9D8N0	EF1G_MOUSE	Elongation factor 1-gamma OS=Mus musculus GN=Eef1g PE=1 SV=3 - [EF1G_MOUSE]	18	23	46	55	0.037	0.025	0.021	0.012	0.024	0.051	0.109	0.346	0.072	0.303	0.047	0.052	0.054	0.059	0.08	0.113	0.163	0.186	0.143	0.102	unknown	unknown	unknown	unknown	Peroxisome	0.397	unclassified	unclassified	Y									Non-Specific	Q9D8N0	1	1.0		401.54880315	437	False	False	False	False
P52293	IMA2_MOUSE	Importin subunit alpha-2 OS=Mus musculus GN=Kpna2 PE=1 SV=2 - [IMA2_MOUSE]	18	16	44	36	0.223	0.097	0.081	0.041	0.051	0.044	0.047	0.147	0.119	0.149	0.201	0.091	0.103	0.089	0.085	0.068	0.059	0.066	0.145	0.093	unknown	unknown	unknown	unknown	60S Ribosome	0.196	unclassified	unclassified	Y			Importin	Importin			Prey			P52293	1	1.0		152.806223025	529	False	False	False	False
Q3U9G9	LBR_MOUSE	Lamin-B receptor OS=Mus musculus GN=Lbr PE=1 SV=2 - [LBR_MOUSE]	18	17	41	34	0.0	0.017	0.017	0.012	0.035	0.053	0.095	0.318	0.152	0.3	0.002	0.026	0.036	0.049	0.066	0.095	0.158	0.25	0.256	0.062	unknown	unknown	unknown	unknown	Nucleus - Chromatin	0.541	unclassified	unclassified	N	Nucleus - Lamina									Q3U9G9	1	1.0		80.8635314465	626	False	False	False	False
Q9Z2I8	SUCB2_MOUSE	Succinyl-CoA ligase [GDP-forming] subunit beta, mitochondrial OS=Mus musculus GN=Suclg2 PE=2 SV=3 - [SUCB2_MOUSE]	18	18	38	44	0.002	0.012	0.014	0.012	0.032	0.094	0.247	0.297	0.017	0.273	0.002	0.01	0.013	0.017	0.027	0.099	0.361	0.311	0.021	0.139	Mitochondrion	Mitochondrion	Mitochondrion	Mitochondrion	Mitochondrion	1.0	Mitochondrion	Mitochondrion	N										Q9Z2I8	1	1.0		44.2281910445	433	True	False	False	False
O08749	DLDH_MOUSE	Dihydrolipoyl dehydrogenase, mitochondrial OS=Mus musculus GN=Dld PE=1 SV=2 - [DLDH_MOUSE]	18	11	37	16	0.002	0.02	0.018	0.013	0.034	0.101	0.269	0.272	0.028	0.243	0.003	0.01	0.015	0.019	0.029	0.091	0.352	0.316	0.04	0.126	Mitochondrion	Mitochondrion	Mitochondrion	Mitochondrion	Mitochondrion	1.0	Mitochondrion	Mitochondrion	N										O08749	1	1.0		68.7620619025	509	True	False	False	False
Q8K2B3	DHSA_MOUSE	Succinate dehydrogenase [ubiquinone] flavoprotein subunit, mitochondrial OS=Mus musculus GN=Sdha PE=1 SV=1 - [DHSA_MOUSE]	18	18	37	36	0.001	0.018	0.018	0.013	0.034	0.084	0.197	0.313	0.04	0.282	0.003	0.014	0.016	0.022	0.033	0.093	0.368	0.252	0.06	0.139	Mitochondrion	Mitochondrion	Mitochondrion	Mitochondrion	Mitochondrion	1.0	Mitochondrion	Mitochondrion	N										Q8K2B3	1	1.0		92.897618638	664	True	False	False	False
Q8JZQ2	AFG32_MOUSE	AFG3-like protein 2 OS=Mus musculus GN=Afg3l2 PE=1 SV=1 - [AFG32_MOUSE]	18	21	36	32	0.0	0.018	0.02	0.012	0.033	0.096	0.216	0.282	0.077	0.246	0.002	0.013	0.014	0.02	0.032	0.092	0.391	0.225	0.086	0.127	unknown	Mitochondrion	unknown	Mitochondrion	Mitochondrion	1.0	Mitochondrion	Mitochondrion	N										Q8JZQ2	1	1.0		52.4536986485	802	True	False	False	False
Q8BG32	PSD11_MOUSE	26S proteasome non-ATPase regulatory subunit 11 OS=Mus musculus GN=Psmd11 PE=1 SV=3 - [PSD11_MOUSE]	18	18	35	35	0.58	0.101	0.089	0.033	0.047	0.037	0.02	0.038	0.018	0.037	0.472	0.084	0.1	0.076	0.077	0.06	0.03	0.022	0.028	0.051	Proteasome	Proteasome	Proteasome	Proteasome	Proteasome	1.0	Proteasome	Proteasome	N							Prey			Q8BG32	1	1.0		170.42717804	422	True	False	False	False
Q9DB05	SNAA_MOUSE	Alpha-soluble NSF attachment protein OS=Mus musculus GN=Napa PE=1 SV=1 - [SNAA_MOUSE]	18	16	35	30	0.059	0.116	0.174	0.117	0.28	0.132	0.042	0.036	0.009	0.034	0.058	0.08	0.115	0.165	0.253	0.187	0.081	0.034	0.013	0.013	unknown	unknown	unknown	unknown	Lysosome	0.409	unclassified	unclassified	Y										Q9DB05	1	1.0		26.7794085175	295	False	False	False	False
Q9JLJ2	AL9A1_MOUSE	4-trimethylaminobutyraldehyde dehydrogenase OS=Mus musculus GN=Aldh9a1 PE=1 SV=1 - [AL9A1_MOUSE]	18	18	35	35	0.296	0.084	0.085	0.038	0.053	0.062	0.091	0.151	0.006	0.134	0.259	0.061	0.082	0.066	0.07	0.083	0.168	0.137	0.011	0.063	unknown	unknown	unknown	unknown	Mitochondrion	0.146	unclassified	unclassified	N										Q9JLJ2	1	1.0		33.7212876872	494	False	False	False	False
Q9WTM5	RUVB2_MOUSE	RuvB-like 2 OS=Mus musculus GN=Ruvbl2 PE=2 SV=3 - [RUVB2_MOUSE]	18	20	35	36	0.23	0.043	0.044	0.018	0.026	0.031	0.062	0.198	0.152	0.195	0.23	0.058	0.066	0.054	0.065	0.056	0.072	0.087	0.192	0.119	unknown	unknown	unknown	unknown	Nucleus - Non-chromatin	0.224	unclassified	unclassified	N										Q9WTM5	1	1.0		153.385520662	463	False	False	False	False
P47757-2	CAPZB_MOUSE	Isoform 2 of F-actin-capping protein subunit beta OS=Mus musculus GN=Capzb - [CAPZB_MOUSE]	18	14	34	29	0.199	0.166	0.128	0.082	0.146	0.082	0.046	0.062	0.034	0.055	0.187	0.112	0.123	0.117	0.151	0.121	0.069	0.038	0.046	0.036	unknown	unknown	unknown	unknown	Cytosol	0.186	unclassified	unclassified	N		Actin cap modulators		WASH complex						P47757	4	0.474306096074	0.625250644392	83.9656900947	277	False	True	True	False
Q8JZN5	ACAD9_MOUSE	Acyl-CoA dehydrogenase family member 9, mitochondrial OS=Mus musculus GN=Acad9 PE=2 SV=2 - [ACAD9_MOUSE]	18	19	34	29	0.0	0.011	0.015	0.013	0.033	0.101	0.209	0.309	0.048	0.261	0.002	0.011	0.015	0.019	0.029	0.106	0.357	0.276	0.053	0.132	Mitochondrion	Mitochondrion	Mitochondrion	Mitochondrion	Mitochondrion	1.0	Mitochondrion	Mitochondrion	N										Q8JZN5	1	1.0		19.317450486	625	True	False	False	False
Q7TMB8	CYFP1_MOUSE	Cytoplasmic FMR1-interacting protein 1 OS=Mus musculus GN=Cyfip1 PE=1 SV=1 - [CYFP1_MOUSE]	18	20	33	38	0.028	0.312	0.157	0.127	0.17	0.09	0.036	0.035	0.009	0.035	0.028	0.223	0.157	0.168	0.161	0.106	0.06	0.023	0.037	0.037	unknown	unknown	unknown	unknown	Plasma membrane	0.751	unclassified	Plasma membrane	N										Q7TMB8	3	0.572943612262	0.633493089263	13.9429872622	1253	True	True	True	False
Q99JY9	ARP3_MOUSE	Actin-related protein 3 OS=Mus musculus GN=Actr3 PE=1 SV=3 - [ARP3_MOUSE]	18	15	33	24	0.122	0.205	0.123	0.062	0.098	0.081	0.046	0.086	0.071	0.106	0.119	0.109	0.103	0.096	0.104	0.089	0.066	0.041	0.141	0.132	unknown	unknown	unknown	unknown	Cytosol	0.13	unclassified	unclassified	N		Arp2/3 complex		Arp2/3 complex						Q99JY9	3	0.434088326936	0.943102754447	90.4167266222	418	False	True	True	False
P62814	VATB2_MOUSE	V-type proton ATPase subunit B, brain isoform OS=Mus musculus GN=Atp6v1b2 PE=1 SV=1 - [VATB2_MOUSE]	18	17	32	36	0.155	0.133	0.163	0.11	0.251	0.098	0.031	0.025	0.015	0.018	0.141	0.117	0.121	0.159	0.209	0.127	0.059	0.022	0.028	0.018	unknown	unknown	unknown	unknown	Endosome	0.242	unclassified	unclassified	N										P62814	1	1.0		60.8134385735	511	False	False	False	False
Q9D6R2	IDH3A_MOUSE	Isocitrate dehydrogenase [NAD] subunit alpha, mitochondrial OS=Mus musculus GN=Idh3a PE=1 SV=1 - [IDH3A_MOUSE]	18	13	32	31	0.0	0.014	0.016	0.011	0.032	0.075	0.193	0.358	0.012	0.289	0.003	0.013	0.014	0.022	0.031	0.103	0.366	0.282	0.025	0.14	Mitochondrion	Mitochondrion	Mitochondrion	Mitochondrion	Mitochondrion	1.0	Mitochondrion	Mitochondrion	N										Q9D6R2	1	1.0		72.2792449275	366	True	False	False	False
Q8BRF7	SCFD1_MOUSE	Sec1 family domain-containing protein 1 OS=Mus musculus GN=Scfd1 PE=2 SV=1 - [SCFD1_MOUSE]	18	19	31	26	0.103	0.076	0.08	0.05	0.12	0.169	0.091	0.146	0.037	0.129	0.09	0.051	0.092	0.121	0.156	0.198	0.119	0.088	0.044	0.043	unknown	unknown	unknown	unknown	Endoplasmic reticulum/Golgi apparatus	0.806	unclassified	Endoplasmic reticulum/Golgi apparatus	N										Q8BRF7	1	1.0		24.0315432293	639	True	False	False	False
Q8CI11	GNL3_MOUSE	Guanine nucleotide-binding protein-like 3 OS=Mus musculus GN=Gnl3 PE=1 SV=2 - [GNL3_MOUSE]	18	19	31	32	0.277	0.018	0.032	0.012	0.025	0.039	0.044	0.081	0.283	0.189	0.195	0.02	0.035	0.027	0.037	0.044	0.049	0.031	0.227	0.336	unknown	Phenotype 2	Nucleus - Non-chromatin	Nucleus - Non-chromatin	Nucleus - Non-chromatin	1.0	Nucleus - Non-chromatin	Nucleus - Non-chromatin	N										Q8CI11	1	1.0		188.81540998	538	True	False	False	False
Q99JF8	PSIP1_MOUSE	PC4 and SFRS1-interacting protein OS=Mus musculus GN=Psip1 PE=1 SV=1 - [PSIP1_MOUSE]	18	15	31	27	0.019	0.0	0.0	0.001	0.006	0.021	0.106	0.314	0.244	0.29	0.031	0.004	0.009	0.007	0.012	0.04	0.107	0.209	0.5	0.081	unknown	unknown	unknown	unknown	Nucleus - Chromatin	0.895	Nucleus - Chromatin	Nucleus - Chromatin	N										Q99JF8	1	1.0		79.7306931495	528	True	False	False	False
